"Please select page(s).","Please select page(s)."
"Please select block(s).","Please select block(s)."
"Total of %d record(s) have been copied.","Total of %d record(s) have been copied."
"Total of %d record(s) have their status updated.","Total of %d record(s) have their status updated."
"Total of %d record(s) have been deleted.","Total of %d record(s) have been deleted."
"Copy to Store View","Copy to Store View"
"Postfix","Postfix"
"Change status","Change status"
"Delete","Delete"
"Are you sure?","Are you sure?"
"Disabled","Disabled"
"Enabled","Enabled"
"Delete","Delete"
"No Pages Deleted","No Pages Deleted"
"No pages with status updated","No pages with status updated"
"No pages copied","No pages copied"
"No blocks Deleted","No blocks Deleted"
"No blocks with status updated","No blocks with status updated"
"No blocks copied","No blocks copied"